"Id","SalePrice"
1461,125680.125333333
1462,154707.7845
1463,179620.2494
1464,185070.631666667
1465,199298.2109
1466,183608.142533333
1467,174641.242433333
1468,176773.077266667
1469,177313.214866667
1470,124979.989033333
1471,189351.9209
1472,95277.4791666667
1473,99056.8484333333
1474,152998.5097
1475,131722.635433333
1476,378014.709966666
1477,263833.0145
1478,305843.0641
1479,285067.838666667
1480,471591.9211
1481,311909.0784
1482,209896.1058
1483,181736.291833333
1484,171010.463466667
1485,174816.3229
1486,199052.103866667
1487,332642.760033333
1488,236482.8817
1489,209989.077633333
1490,218475.612166667
1491,190492.583766667
1492,106513.820333333
1493,170581.424066667
1494,304507.941433333
1495,298629.4952
1496,232680.174433333
1497,189733.595766667
1498,155015.134833333
1499,154231.500866667
1500,163844.100033333
1501,174648.967933333
1502,156803.059966667
1503,277084.842066667
1504,231826.680033333
1505,221336.8154
1506,192979.111366667
1507,240659.1993
1508,197315.793633333
1509,168060.044233333
1510,153030.847233333
1511,152175.899466667
1512,167585.996933333
1513,147063.274266667
1514,155295.348066667
1515,190065.9151
1516,154230.652266667
1517,152423.442166667
1518,135525.262166667
1519,211862.902766667
1520,138153.273066667
1521,144131.536
1522,162469.105333333
1523,121099.549766667
1524,124687.322533333
1525,126193.702433333
1526,127439.965966667
1527,109902.1917
1528,130587.706533333
1529,144619.68
1530,166577.938266667
1531,129925.696666667
1532,106843.3512
1533,139677.145
1534,115829.331933333
1535,150304.939366667
1536,116368.2039
1537,87737.1881333333
1538,166627.7672
1539,223035.286066667
1540,116810.7358
1541,144326.946966667
1542,146664.015766667
1543,187485.248566667
1544,84367.9703333333
1545,105975.561833333
1546,125998.7441
1547,138971.337633333
1548,135280.610066667
1549,115871.757466667
1550,144278.512766667
1551,118680.819766667
1552,136975.1841
1553,146212.375033333
1554,112937.5299
1555,182834.060966667
1556,126161.587866667
1557,128448.369966667
1558,100344.2537
1559,124639.164533333
1560,148611.551666667
1561,144246.1896
1562,127085.472366667
1563,125394.982
1564,159679.281466667
1565,155984.575433333
1566,228983.115933333
1567,90658.6483666667
1568,224694.322266667
1569,143872.295233333
1570,131358.387966667
1571,125463.541666667
1572,141639.045633333
1573,221992.819133333
1574,125800.575766667
1575,213223.932933333
1576,223232.2254
1577,202409.210933333
1578,155008.583433333
1579,143230.433733333
1580,190896.764133333
1581,141635.027933333
1582,129123.609
1583,305686.8211
1584,239110.861133333
1585,140155.764685714
1586,80424.2582
1587,102090.6471
1588,147188.5672
1589,101615.3868
1590,128820.047066667
1591,107293.7438
1592,132059.593533333
1593,122045.290966667
1594,146814.113866667
1595,132404.258166667
1596,238679.7933
1597,184842.380033333
1598,192975.164
1599,186381.113233333
1600,183250.925366667
1601,77275.8793666667
1602,112422.897666667
1603,91707.0452666667
1604,281933.9542
1605,242784.995366667
1606,167164.170033333
1607,171368.2709
1608,215822.72
1609,197149.561866667
1610,169447.024533333
1611,147297.532666667
1612,169103.9812
1613,161933.314466667
1614,121425.235533333
1615,90174.3805
1616,84214.9798
1617,88454.4222666667
1618,126591.366066667
1619,132099.521566667
1620,161638.5912
1621,140856.9836
1622,147361.849266667
1623,259665.2314
1624,204434.502933333
1625,127880.9226
1626,167323.960733333
1627,186367.076966667
1628,269057.139166667
1629,177847.214266667
1630,345522.2505
1631,215379.8955
1632,251047.663933333
1633,172006.070833333
